"team_id","team_name","country","founded","national","logo","venue_id","venue_name","address","city","capacity","surface","image"
"2438","Arema FC","Indonesia","1987","False","https://media.api-sports.io/football/teams/2438.png","7129","Stadion Kanjuruhan","Jalan Turen","Kepanjen","44912","grass","https://media.api-sports.io/football/venues/7129.png"
"2439","Persija Jakarta","Indonesia","","False","https://media.api-sports.io/football/teams/2439.png","838","Stadion Patriot","Jalan Ahmad Yani","Bekasi","30000","grass","https://media.api-sports.io/football/venues/838.png"
"2440","Persipura Jayapura","Indonesia","1963","False","https://media.api-sports.io/football/teams/2440.png","20292","Stadion Utama Papua Bangkit","Nolokla, East Sentani","Jayapura","40263","grass","https://media.api-sports.io/football/venues/20292.png"
"2441","PSM Makassar","Indonesia","1915","False","https://media.api-sports.io/football/teams/2441.png","19787","Stadion Gelora B.J. Habibie","Jl. Stadion Gelora Mandiri","Lompoe","20000","grass","https://media.api-sports.io/football/venues/19787.png"
"2442","Pusamania Borneo","Indonesia","2014","False","https://media.api-sports.io/football/teams/2442.png","1818","Stadion Segiri","Jalan Kesuma Bangsa, Pusat","Samarinda","25000","grass","https://media.api-sports.io/football/venues/1818.png"
"2443","Bhayangkara FC","Indonesia","2016","False","https://media.api-sports.io/football/teams/2443.png","11152","PTIK Stadium","Jl. Tirtayasa No.6","South Jakarta City","3000","grass","https://media.api-sports.io/football/venues/11152.png"
"2444","Persepam Madura Utd","Indonesia","1986","False","https://media.api-sports.io/football/teams/2444.png","1876","Gelora Madura Ratu Pamelingan Stadium","Desa Ceguk, Kecamatan Tlanakan","Pamekasan","35000","grass","https://media.api-sports.io/football/venues/1876.png"
"2445","Persib Bandung","Indonesia","1933","False","https://media.api-sports.io/football/teams/2445.png","837","Stadion Si Jalak Harupat","","Soreang","40000","grass","https://media.api-sports.io/football/venues/837.png"
"2446","Persebaya Surabaya","Indonesia","1927","False","https://media.api-sports.io/football/teams/2446.png","835","Stadion Gelora Bung Tomo","Jalan Stadion Gelora Bung Tomo","Surabaya","55000","grass","https://media.api-sports.io/football/venues/835.png"
"2447","PSMS Medan","Indonesia","1930","False","https://media.api-sports.io/football/teams/2447.png","843","Stadion Teladan","Jalan Stadion Teldan","Medan","22234","grass","https://media.api-sports.io/football/venues/843.png"
"2448","Bali United","Indonesia","1989","False","https://media.api-sports.io/football/teams/2448.png","840","Stadion Kapten I Wayan Dipta","Jalan Darma Giri","Gianyar","25312","grass","https://media.api-sports.io/football/venues/840.png"
"2449","PS TIRA","Indonesia","2015","False","https://media.api-sports.io/football/teams/2449.png","842","Stadion Pakansari Bogor","Jalan Kampung Cikempong No.22","Cibinong","31000","grass","https://media.api-sports.io/football/venues/842.png"
"2450","Persela Lamongan","Indonesia","1967","False","https://media.api-sports.io/football/teams/2450.png","836","Stadion Surajaya","Jalan Panglima Sudirman","Lamongan","20000","grass","https://media.api-sports.io/football/venues/836.png"
"2451","PSIS Semarang","Indonesia","1932","False","https://media.api-sports.io/football/teams/2451.png","19786","Stadion Jatidiri","Jalan Telaga Bodas","Semarang","25000","grass","https://media.api-sports.io/football/venues/19786.png"
"2452","Perseru Serui","Indonesia","1970","False","https://media.api-sports.io/football/teams/2452.png","1815","Stadion Sumpah Pemuda","Jl. Sumpah Pemuda, Perumnas Way Halim, Way Halim","Bandar Lampung","15000","grass","https://media.api-sports.io/football/venues/1815.png"
"2453","Barito Putera","Indonesia","1988","False","https://media.api-sports.io/football/teams/2453.png","833","Stadion Demang Lehman","Jalan Indrasari","Martapura","10000","grass","https://media.api-sports.io/football/venues/833.png"
"2454","Sriwijaya FC","Indonesia","1976","False","https://media.api-sports.io/football/teams/2454.png","844","Stadion Gelora Sriwijaya Jakabaring","Jalan Gubernur Hasan Bastari","Palembang","43103","grass","https://media.api-sports.io/football/venues/844.png"
"2455","Mitra Kukar","Indonesia","1979","False","https://media.api-sports.io/football/teams/2455.png","834","Stadion Aji Imbut","Jalan Mangkunegara","Tenggarong","35000","grass","https://media.api-sports.io/football/venues/834.png"
